AirportName,RadioId,RadioName,RadioFrequency,Designator,Id
FORD,,ASOS,119.02,KIMT,298
FORD,,CTAF,122.8,KIMT,299
Foremost,,CTAF,123.2,FD4,300
FOREST CITY MUNI,,CTAF,122.8,KFXY,301
FOREST LAKE,,CTAF,122.7,25D,302
FORESTVILLE,,CTAF,123.2,CYFE,303
FORLI,,TWR,118.95,LIPK,304
FORLI,,APP,118.15,LIPK,305
FORLI,,APP,124.85,LIPK,306
FORMOSA,,TWR,119,SARF,307
FORREST CITY MUNI,,CTAF,122.8,KFCY,308
Forrestania,,CTAF,127.6,YFTA,309
FORT ATKINSON MUNICIPAL,,CTAF,122.9,61C,310
FORT BELKNAP AGENCY,,CTAF,122.9,U09,311
FORT BRIDGER,,CTAF,122.8,KFBR,312
FORT COLLINS  LOVELAND MUNI,,CTAF,122.7,KFNL,313
FORT COLLINS  LOVELAND MUNI,,Clearance delivery,120.25,KFNL,314
FORT COLLINS DOWNTOWN,,APP/DEP,134.85,3V5,315
FORT DEPOSIT LOWNDES CO,,CTAF,122.9,67A,316
FORT DODGE RGNL,,AWOS,118.77,KFOD,317
FORT FRANCES MUNI,,AWOS,120,CYAG,318
Fort Lauderdale Executive,,ATIS,119.85,KFXE,319
Fort Lauderdale Executive,,Clearance delivery,127.95,KFXE,320
Fort Lauderdale Executive,,TWR,120.9,KFXE,321
Fort Lauderdale Hollywood Intl,,ATIS,135,KFLL,322
Fort Lauderdale Hollywood Intl,,Ground,121.4,KFLL,323
Fort Lauderdale Hollywood Intl,,TWR,119.3,KFLL,324
Fort Lauderdale Hollywood Intl,,APP,118.1,KFLL,325
Fort Lauderdale Hollywood Intl,,APP,119.7,KFLL,326
Fort Lauderdale Hollywood Intl,,APP,120.2,KFLL,327
Fort Lauderdale Hollywood Intl,,DEP,126.05,KFLL,328
FORT MADISON MUNI,,CTAF,122.8,KFSW,329
FORT MAGSAYSAY,,TWR,121.5,RPLV,330
FORT MAGSAYSAY,,TWR,126.2,RPLV,331
FORT MORGAN MUNI,,AWOS,132.95,KFMM,332
FORT MORGAN MUNI,,CTAF,123.05,KFMM,333
FORT NELSON,,RDO,122.2,CYYE,334
FORT RESOLUTION,,CTAF/UNICOM,122.1,CYFR,335
FORT SCOTT MUNI,,AWOS,124.42,KFSK,336
FORT SIMPSON,,CTAF/UNICOM,122.2,CYFS,337
FORT SMITH,,APP,123.55,CYSM,338
FORT SMITH LNDG STRIP,,CTAF,122.9,5U7,339
FORT SMITH RGNL,,CTAF,118.3,KFSM,340
FORT SMITH RGNL,,Clearance delivery,133.85,KFSM,341
FORT SMITH RGNL,,TWR,118.3,KFSM,342
FORT SMITH RGNL,,APP,120.17,KFSM,343
FORT SMITH RGNL,,APP,134.52,KFSM,344
FORT ST JOHN,,RDO,118.5,CYXJ,345
FORT STOCKTON PECOS CO,,CTAF,122.8,KFST,346
Fort Vermilion,,CTAF,123.2,EZ4,347
FORT WAYNE INTL,,ATIS,121.25,KFWA,348
