AirportName,CreateDate,RunwayNumber,RunwayLength,RunwayWidth,RunwaySurface,Designator,Id
CHEYENNE CO MUNI,2008-04-30 14:24:00,13L/31R,2833,180,Turf or Grass,KSYF,150
CHICAGO OHARE INTL,2008-04-30 14:24:00,18/36,5337,150,Asphalt,KORD,151
CHICKASHA MUNI,2008-04-30 14:24:00,17/35,5111,100,Concrete,KCHK,152
Chiefland Sky Ranch,2008-04-30 14:24:00,18/36,2542,50,Turf or Grass,51FL,153
Chilbolton,2008-04-30 14:24:00,24/06,1349,59,Concrete,EG18,154
CHILECITO,2008-04-30 14:24:00,17/35,6911,111,Asphalt,SANO,155
China Lake Naws,2008-04-30 14:24:00,03/21,9994,200,Asphalt,KNID,156
CHIPMAN,2008-04-30 14:24:00,09/27,4012,50,Asphalt,CCS4,157
CHOCTAW NOLF,2008-04-30 14:24:00,18/36,8106,150,Asphalt,KNFJ,158
CHORHATA,2008-04-30 14:24:00,07/25,3937,95,Asphalt,VA1G,159
Christensen Bros Wahluke Strip,2008-04-30 14:24:00,07/25,2502,20,Dirt,91WA,160
Christys,2008-04-30 14:24:00,17/35,2402,100,Turf or Grass,7OI0,161
CIELO DORADO ESTATES,2008-04-30 14:24:00,04/22,4000,50,Asphalt,TA50,162
CINCINNATI MUNI LUNKEN FLD,2008-04-30 14:24:00,07/25,5120,100,Asphalt,KLUK,163
Circle 8 Ranch,2008-04-30 14:24:00,08/26,2301,80,Turf or Grass,CO42,164
Circle H Ranch,2008-04-30 14:24:00,18/36,1201,45,Turf or Grass,AZ17,165
Circle R Ranch,2008-04-30 14:24:00,17/35,3002,60,Turf or Grass,2TS4,166
Circle Z Landing Strip,2008-04-30 14:24:00,13/31,1901,50,Turf or Grass,NA90,167
Ciudad Quesada Alic.,2008-04-30 14:24:00,06/24,3458,128,Turf or Grass,LECQ,168
Clark Field,2008-04-30 14:24:00,09/27,1801,80,Turf or Grass,ME94,169
Clarks Dream Strip,2008-04-30 14:24:00,13/31,2502,90,Turf or Grass,03I,170
Clear Lake Municipal,2008-04-30 14:24:00,13/31,3002,150,Turf or Grass,SD11,171
CLEARWATER AIR PARK,2008-04-30 14:24:00,16/34,3316,75,Asphalt,KCLW,172
Clementine Mine,2008-04-30 14:24:00,12/30,2402,50,Gravel,AZ44,173
Cleveland Hopkins Intl,2008-04-30 14:24:00,06C/24C,7088,150,Concrete,KCLE,174
CLINTON CO,2008-04-30 14:24:00,01/19,5004,100,Asphalt,KPLB,175
CLINTON MUNI,2008-04-30 14:24:00,03/21,5205,100,Asphalt,4M4,176
